image_id,split,sat_image_path,mask_path
100034,train,train/images/100034_sat.jpg,train/masks/100034_mask.png
100081,train,train/images/100081_sat.jpg,train/masks/100081_mask.png
100129,train,train/images/100129_sat.jpg,train/masks/100129_mask.png
100703,train,train/images/100703_sat.jpg,train/masks/100703_mask.png
100712,train,train/images/100712_sat.jpg,train/masks/100712_mask.png
100773,train,train/images/100773_sat.jpg,train/masks/100773_mask.png
100841,train,train/images/100841_sat.jpg,train/masks/100841_mask.png
100867,train,train/images/100867_sat.jpg,train/masks/100867_mask.png
100892,train,train/images/100892_sat.jpg,train/masks/100892_mask.png
101225,train,train/images/101225_sat.jpg,train/masks/101225_mask.png
101296,train,train/images/101296_sat.jpg,train/masks/101296_mask.png
101395,train,train/images/101395_sat.jpg,train/masks/101395_mask.png
102408,train,train/images/102408_sat.jpg,train/masks/102408_mask.png
10246,train,train/images/10246_sat.jpg,train/masks/10246_mask.png
10255,train,train/images/10255_sat.jpg,train/masks/10255_mask.png
102699,train,train/images/102699_sat.jpg,train/masks/102699_mask.png
102925,train,train/images/102925_sat.jpg,train/masks/102925_mask.png
102945,train,train/images/102945_sat.jpg,train/masks/102945_mask.png
103056,train,train/images/103056_sat.jpg,train/masks/103056_mask.png
103201,train,train/images/103201_sat.jpg,train/masks/103201_mask.png
103341,train,train/images/103341_sat.jpg,train/masks/103341_mask.png
103447,train,train/images/103447_sat.jpg,train/masks/103447_mask.png
103627,train,train/images/103627_sat.jpg,train/masks/103627_mask.png
103722,train,train/images/103722_sat.jpg,train/masks/103722_mask.png
104350,train,train/images/104350_sat.jpg,train/masks/104350_mask.png
104607,train,train/images/104607_sat.jpg,train/masks/104607_mask.png
10466,train,train/images/10466_sat.jpg,train/masks/10466_mask.png
104683,train,train/images/104683_sat.jpg,train/masks/104683_mask.png
10486,train,train/images/10486_sat.jpg,train/masks/10486_mask.png
104883,train,train/images/104883_sat.jpg,train/masks/104883_mask.png
104943,train,train/images/104943_sat.jpg,train/masks/104943_mask.png
104,train,train/images/104_sat.jpg,train/masks/104_mask.png
105157,train,train/images/105157_sat.jpg,train/masks/105157_mask.png
105252,train,train/images/105252_sat.jpg,train/masks/105252_mask.png
105282,train,train/images/105282_sat.jpg,train/masks/105282_mask.png
105428,train,train/images/105428_sat.jpg,train/masks/105428_mask.png
1054,train,train/images/1054_sat.jpg,train/masks/1054_mask.png
105553,train,train/images/105553_sat.jpg,train/masks/105553_mask.png
105596,train,train/images/105596_sat.jpg,train/masks/105596_mask.png
105742,train,train/images/105742_sat.jpg,train/masks/105742_mask.png
105856,train,train/images/105856_sat.jpg,train/masks/105856_mask.png
106119,train,train/images/106119_sat.jpg,train/masks/106119_mask.png
106147,train,train/images/106147_sat.jpg,train/masks/106147_mask.png
106448,train,train/images/106448_sat.jpg,train/masks/106448_mask.png
106523,train,train/images/106523_sat.jpg,train/masks/106523_mask.png
